name,base,type,frequency
Tiefenstein,Tiefenstein,NN,13382
Japanern,Japaner,NN,13382
Week,UNKNOWN,NE,13381.53741
276,@card@,CARD,13381
Schaffner,Schaffner,NN,13381
Drinnen,drinnen,ADV,13379.53951
Paper,UNKNOWN,NE,13379.14648
beherzt,beherzt,ADJD,13379
Befindlichkeiten,Befindlichkeit,NN,13379
Georgiens,Georgien,NE,13378
1764,@card@,CARD,13377
Planungsbüro,Planungsbüro,NN,13376
Pharao,Pharao,NN,13376
stürmisch,stürmisch,ADJD,13375
Sequenz,Sequenz,NN,13375
Vorbildfunktion,Vorbildfunktion,NN,13374
Hauswirtschaft,Hauswirtschaft,NN,13372
year,unknown,ADJD,13371.91283
Kyi,UNKNOWN,NE,13371.70786
innehat,innehat,VVFIN,13371
Titelverteidigerin,Titelverteidigerin,NN,13371
gesandt,senden,VVPP,13371
verfaßt,verfassen,VVPP,13370.62061
vermisst,vermessen|vermissen,VVFIN,13370.30119
Strategen,Stratege,NN,13370.01139
PEKING,Peking,NE,13370
307,@card@,CARD,13369
AUS,aus,APPR,13368.65182
zuwider,zuwider,PTKVZ,13368.61871
Euro-Raum,unknown,NN,13367.79559
Elferrat,Elferrat,NN,13367
aufzuholen,aufholen,VVIZU,13367
sh,sh,NE,13366.09694
erstmaligen,erstmalig,ADJA,13366
Hintermannschaft,Hintermannschaft,NN,13365.30087
Kasimir,Kasimir,NE,13365
Papiers,Papier,NN,13365
Hochkonjunktur,Hochkonjunktur,NN,13365
Species,UNKNOWN,NE,13363.5517
Kyoto,Kyoto,NE,13363
Fußballweltmeisterschaft,Fußballweltmeisterschaft,NN,13363
abzunehmen,abnehmen,VVIZU,13362
Salome,Salome,NE,13362
BKK,BKK,NE,13362
Musikindustrie,Musikindustrie,NN,13362
DFG,DFG,NE,13361.48851
Vertraute,Vertraute,NN,13361.11717
Wahltermin,Wahltermin,NN,13361
geweint,weinen,VVPP,13361
there,unknown,ADJA,13360.85368
Ilanz,UNKNOWN,NE,13360.54281
zufriedengeben,zufriedengeben,VVINF,13360.16174
Westschweizer,Westschweizer,NN,13360
Deiche,Deich,NN,13360
Kirchenmusiker,Kirchenmusiker,NN,13360
etabliert,etablieren,VVFIN,13359.273
Siegerland,Siegerland,NN,13359
Zacharias,Zacharias,NE,13359
Bevorzugung,Bevorzugung,NN,13358
Angstgegner,Angstgegner,NN,13356
Fernsehsenders,Fernsehsender,NN,13356
12-,@card@,CARD,13356
Opec,Opec,NE,13356
Linus,Linus,NE,13355
östlicher,östlich,ADJA,13354.75566
weit.,unknown,VVINF,13354.57416
faule,faul,ADJA,13354.23423
Brandner,UNKNOWN,NE,13354.05551
beizutreten,beitreten,VVIZU,13354
angereisten,angereist,ADJA,13354
Nentershausen,Nentershausen,NE,13353.92088
Odessa,Odessa,NE,13353
ausgewogenen,ausgewogen,ADJA,13353
notieren,notieren,VVINF,13352.28132
Tanne,Tanne,NN,13352
Haushaltes,Haushalt,NN,13351
abzuziehen,abziehen,VVIZU,13351
Geflecht,Geflecht,NN,13351
Kunststoffe,Kunststoff,NN,13351
Zuschauerzahlen,Zuschauerzahl,NN,13350
Gründerin,Gründerin,NN,13350
LM,UNKNOWN,NE,13349.10605
Henryk,Henryk,NE,13349
LBBW,UNKNOWN,NE,13349
Notes,UNKNOWN,NE,13348.05278
-1,@card@,CARD,13348
betriebswirtschaftlichen,betriebswirtschaftlich,ADJA,13348
Filmkomödie,Filmkomödie,NN,13347
unangetastet,unangetastet,ADJD,13347
Strelitzer,UNKNOWN,ADJA,13346.66591
Choice,UNKNOWN,NE,13346.55121
kontrollierten,kontrollieren,VVFIN,13346.3501
wiederkommen,wiederkommen,VVINF,13346.02546
"9,8",@card@,CARD,13346
leiblichen,leiblich,ADJA,13345
hauptberuflich,hauptberuflich,ADJD,13345
Late,UNKNOWN,NE,13343.05897
Helme,Helm,NN,13343
stationierten,stationiert,ADJA,13342.17583
Siegburg,Siegburg,NE,13341
Corinne,Corinne,NE,13341
Deutliche,deutlich,ADJA,13340.32218
schillernde,schillernd,ADJA,13340
Reith,UNKNOWN,NE,13339.687
vergeblichen,vergeblich,ADJA,13339
Verglichen,vergleichen,VVPP,13338.87332
Zeit-,Zeit-,TRUNC,13338
125,@ord@,ADJA,13338
Terrassen,Terrasse,NN,13337.81923
Friedensgespräche,Friedensgespräch,NN,13337
Öfen,Ofen,NN,13336
Lassan,UNKNOWN,NE,13335.54948
Hans-Dietrich,Hans-Dietrich,NE,13334.99276
Landen,Lande,NN,13334.17216
Ressource,Ressource,NN,13334
mitmacht,mitmachen,VVFIN,13334
Kalte,kalt,ADJA,13333.09029
Lebensabschnitt,Lebensabschnitt,NN,13332
Imhof,UNKNOWN,NE,13331.99363
tauscht,tauschen,VVFIN,13331.11018
Andorra,Andorra,NE,13331
Blasen,Blase,NN,13330.49716
Unterrichtung,Unterrichtung,NN,13330
unzulässige,unzulässig,ADJA,13330
Jerusalems,Jerusalem,NE,13330
Praxisgebühr,Praxisgebühr,NN,13329
Wildschwein,Wildschwein,NN,13329
zurückgebracht,zurückbringen,VVPP,13329
Westliche,westlich,ADJA,13328.96904
cha,cha,NE,13328.82447
Sozialforschung,Sozialforschung,NN,13327
Überlastung,Überlastung,NN,13327
Ins,Ins,NE,13326.36776
Erstellen,Erstellen,NN,13326.29675
Heuberger,Heuberger,NN,13326
Henne,Henne,NN,13325
Südlich,südlich,ADJD,13324.31211
Kulturdenkmale,Kulturdenkmal,NN,13324.20153
405,@card@,CARD,13324
Only,UNKNOWN,NE,13323.26102
15:00,@card@,CARD,13323
Oberdorf,Oberdorf,NN,13323
Trautmann,Trautmann,NE,13322.07716
Tristesse,Tristesse,NN,13322
Lebensjahres,Lebensjahr,NN,13322
Kersten,Kersten,NE,13322
deftige,deftig,ADJA,13322
blendend,blendend,ADJD,13322
zerstörte,zerstört,ADJA,13321.49101
präziser,präzis,ADJD,13320.733
besetzte,besetzt,ADJA,13320.62069
Rufen,rufen,VVFIN,13320.05798
Revolutionen,Revolution,NN,13320
behaftet,behaftet,ADJD,13319
Verkaufspreis,Verkaufspreis,NN,13318
primäre,primär,ADJA,13318
entführten,entführt,ADJA,13317.23569
Altersarmut,Altersarmut,NN,13317
Strobel,Strobel,NN,13317
Connor,UNKNOWN,NE,13316.32236
NEUE,neu,ADJA,13316
ausstrahlen,ausstrahlen,VVINF,13315.91359
abzuschätzen,abschätzen,VVIZU,13315
Zipfel,Zipfel,NN,13315
sauberes,sauber,ADJA,13314
Weisse,Weiß,NN,13313.90116
Vöslau,UNKNOWN,NE,13313.66642
Macbeth,UNKNOWN,NE,13312.60516
wiedereröffnet,wiedereröffnen,VVPP,13311.1386
Bahamas,Bahamas,NE,13311
Gesetzgebungsverfahren,Gesetzgebungsverfahren,NN,13310
faz,faz,NE,13309.94104
Synergieeffekte,Synergieeffekt,NN,13309
Finanzinvestor,Finanzinvestor,NN,13309
differenzieren,differenzieren,VVINF,13308.59071
Rebsorte,Rebsorte,NN,13308.02032
unberechtigt,unberechtigt,ADJD,13308
humorvolle,humorvoll,ADJA,13308
Grünberg,Grünberg,NE,13307.14414
Oberschlesien,Oberschlesien,NE,13306
1894-,@card@,CARD,13306
Turnsaal,Turnsaal,NN,13305.48844
Ungerechtigkeiten,Ungerechtigkeit,NN,13305
Schneewittchen,Schneewittchen,NE,13305
Pharma,Pharma,NN,13303
Arbeitstitel,Arbeitstitel,NN,13303
Benken,UNKNOWN,NE,13302.73824
Schweinen,Schwein,NN,13302.34578
Zwinger,Zwinger,NN,13301
Seidler,Seidler,NN,13301
Dogs,UNKNOWN,NE,13300.79934
eingestellte,eingestellt,ADJA,13300
Baukonzern,Baukonzern,NN,13300
ohnmächtig,ohnmächtig,ADJD,13300
Alberta,Alberta,NE,13299
vollumfänglich,vollumfänglich,ADJD,13299
one,one,NE,13298.80539
Bayerisches,bayerisch,ADJA,13298.62992
Gesundheitsversorgung,Gesundheitsversorgung,NN,13298
Karlshagen,UNKNOWN,NE,13297.0788
Fluktuation,Fluktuation,NN,13297
Finance,UNKNOWN,NE,13296.56219
Berufstätige,Berufstätige,NN,13296.09332
Torlinie,Torlinie,NN,13296
rundeten,runden,VVFIN,13296
singenden,singend,ADJA,13296
Eckstein,Eckstein,NE,13296
Ingelheimer,Ingelheimer,ADJA,13295
Kröger,Kröger,NE,13295
billigere,billig,ADJA,13294
Menschenbild,Menschenbild,NN,13294
291,@card@,CARD,13294
Irrtümer,Irrtum,NN,13294
Umsteigen,Umsteigen,NN,13293.42092
Hocker,Hocker,NN,13293
behandelten,behandelt,ADJA,13292.44495
Face,Face,NN,13292
Propst,UNKNOWN,NE,13291.60534
Testfahrten,Testfahrt,NN,13290.68353
graben,graben,VVINF,13289.6073
Neubürger,Neubürger,NN,13289
Generalstab,Generalstab,NN,13289
verpasste,verpasst,ADJA,13288.41864
verkehrte,verkehren,VVFIN,13288.28879
1888-,@card@,CARD,13288
viertägigen,viertägig,ADJA,13288
HARALD,HARALD,NE,13288
Rechtsaußen,Rechtsaußen,NN,13287.94935
vorfinden,vorfinden,VVINF,13287.29135
schwedisch,schwedisch,ADJD,13287
Tutow,UNKNOWN,NE,13286.69905
Zuweisung,Zuweisung,NN,13286
Khartum,Khartum,NE,13286
Elli,Elli,NE,13286
Bernardo,Bernardo,NE,13286
eingeschlossen,einschließen,VVPP,13285.93529
Puzzle,Puzzle,NN,13285.12149
Schulklasse,Schulklasse,NN,13284
mehrjährige,mehrjährig,ADJA,13284
ausgewandert,auswandern,VVPP,13284
Mrd,UNKNOWN,NN,13283.98363
Wanne,Wanne,NN,13283
völkerrechtlich,völkerrechtlich,ADJD,13281
strebte,streben,VVFIN,13281
Se,UNKNOWN,NE,13280.77937
watch,UNKNOWN,NE,13280.70301
registrierten,registrieren,VVFIN,13279.24783
vielfältiger,vielfältig,ADJA,13279.08225
Combo,Combo,NE,13278
favorisierte,favorisiert,ADJA,13277.60632
Weihnachtsbaum,Weihnachtsbaum,NE,13277.1875
22:25,@card@,CARD,13276
Wintersport,Wintersport,NN,13275.44402
Lenzerheide,UNKNOWN,NE,13275.31558
Sodann,sodann,ADV,13275
Wallmerod,UNKNOWN,NE,13274.90997
sinnliche,sinnlich,ADJA,13274
Isle,UNKNOWN,NE,13273.65845
Schraube,Schraube,NN,13273.2322
Denken,denken,VVINF,13273.03792
Cecil,Cecil,NE,13273
Lichtjahre,Lichtjahr,NN,13273
US-Streitkräfte,US-Streitkraft,NN,13272
kürzeste,kurz,ADJA,13272
Hajo,Hajo,NE,13272
Präzedenzfall,Präzedenzfall,NN,13272
Porsch,UNKNOWN,NE,13271.43526
Hunsrücker,UNKNOWN,ADJA,13270.52929
Musikproduzent,Musikproduzent,NN,13269.2983
Kalkstein,Kalkstein,NN,13269
Neurologie,Neurologie,NN,13269
derzeitigem,derzeitig,ADJA,13269
Arbeitsmarktservice,Arbeitsmarktservice,NN,13268
Adorf,Adorf,NE,13267
mancherorts,mancherorts,ADV,13266
stolpert,stolpern,VVFIN,13264.76898
Emsland,Emsland,NE,13264.33775
Amalie,Amalie,NE,13264
Königstraße,Königstraße,NN,13263
Justiz-,Justiz-,TRUNC,13262
ben,ben,NE,13261.74537
Leicht,Leicht,NE,13261.54131
Massenmord,Massenmord,NN,13261
6,@ord@,ADJA,13261
Signer,UNKNOWN,NE,13260.19268
Larsen,Larsen,NE,13260
hinweisen,hinweisen,VVFIN,13259.64688
hapert,hapern,VVFIN,13259.34643
biegt,biegen,VVFIN,13259.25236
Kunstsammlungen,Kunstsammlung,NN,13259
unsinnige,unsinnig,ADJA,13259
Ostereier,Osterei,NN,13259
Weltsicherheitsrat,Weltsicherheitsrat,NN,13258
Artikel|behandelt,unknown,NN,13257.87875
Schumi,UNKNOWN,NE,13257.04292
vereinigt,vereinigen,VVFIN,13256.63399
Brehm,Brehm,NE,13256
Abschaltung,Abschaltung,NN,13255
Spot,Spot,NN,13255
täten,tun,VVFIN,13255
Abstiegsrunde,Abstiegsrunde,NN,13254
Wahlabend,Wahlabend,NN,13254
silberner,silbern,ADJA,13253.00591
Warnstreik,Warnstreik,NN,13253
atemberaubenden,atemberaubend,ADJA,13253
vormaligen,vormalig,ADJA,13252
reichhaltige,reichhaltig,ADJA,13250
Gastgebers,Gastgeber,NN,13248
gesprochenen,gesprochen,ADJA,13248
zieren,zieren,VVINF,13247.59475
Gründonnerstag,Gründonnerstag,NN,13247
Humanität,Humanität,NN,13247
Kirchgemeinden,Kirchgemeinde,NN,13246.80128
DaimlerChrysler,UNKNOWN,NE,13246.12601
Eigenkompositionen,Eigenkomposition,NN,13246
anlegt,anlegen,VVFIN,13246
zerstreuen,zerstreuen,VVINF,13245.14135
Grundeigentümer,Grundeigentümer,NN,13245
Weltpolitik,Weltpolitik,NN,13245
Nationalteams,Nationalteam,NN,13244
Kingdom,UNKNOWN,NE,13243.92859
Quartals,Quartal,NN,13243
WN,UNKNOWN,NE,13242.48922
Protestaktion,Protestaktion,NN,13242
Sozialausschuss,Sozialausschuss,NN,13242
Norderstedt,Norderstedt,NE,13242
getrocknet,trocknen,VVPP,13241
prüfte,prüfen,VVFIN,13240
Francs,Franc,NN,13240
Paradigmenwechsel,Paradigmenwechsel,NN,13240
Aurora,Aurora,NE,13239
Falko,Falko,NE,13239
Sternberg,Sternberg,NE,13238.46792
Bild-,Bild-,TRUNC,13238
Lebensjahren,Lebensjahr,NN,13238
ls,ls,NE,13236
Mehrkampf,Mehrkampf,NN,13236
Cold,UNKNOWN,NE,13235.41282
Publizistik,Publizistik,NN,13235
Wessel,Wessel,NE,13235
GD,UNKNOWN,NE,13234.92335
830,@card@,CARD,13234
Kurdistan,Kurdistan,NE,13234
erwähnten,erwähnen,VVFIN,13233.75642
Privatschulen,Privatschule,NN,13232
Volkskunde,Volkskunde,NN,13232
Getöse,Getöse,NN,13232
Familienbesitz,Familienbesitz,NN,13232
Schönberger,Schönberger,NE,13231
Bekanntmachung,Bekanntmachung,NN,13231
rauen,rau,ADJA,13230.28817
Toten,tot,ADJA,13230.03039
geschleppt,schleppen,VVPP,13230
tanzen,tanzen,VVFIN,13229.35271
tp,tp,NE,13229.19276
611,@card@,CARD,13228
Lörrach,Lörrach,NE,13226
Polizeipräsidiums,Polizeipräsidium,NN,13226
Klöstern,Kloster,NN,13225
experimentiert,experimentieren,VVPP,13224.8831
Seltsam,seltsam,ADJD,13224
neutraler,neutral,ADJA,13223.32
Kraftfahrzeuge,Kraftfahrzeug,NN,13222
Arbeiterklasse,Arbeiterklasse,NN,13222
Geistern,Geist,NN,13221.2779
KSG,UNKNOWN,NE,13221
Dracula,Dracula,NE,13220
brächten,bringen,VVFIN,13219
anstecken,anstecken,VVINF,13217.62334
Wahllokal,Wahllokal,NN,13217
gewaltiges,gewaltig,ADJA,13217
Osterfest,Osterfest,NN,13214
stattete,statten,VVFIN,13214
Entwicklungs-,Entwicklungs-,TRUNC,13213
Wink,Wink,NN,13213
Ausleihe,Ausleihe,NN,13212.44829
Eugène,UNKNOWN,NE,13212.11981
Topform,Topform,NN,13211
Vielfach,vielfach,ADV,13210.90599
Gehört,gehören,VVFIN,13210.36035
willkürliche,willkürlich,ADJA,13209
Tennisspielerin,Tennisspielerin,NN,13209
linearen,linear,ADJA,13209
3:0-Sieg,unknown,NN,13208.12532
Nottingham,Nottingham,NE,13208
japanisch,japanisch,ADJD,13208
wertvollsten,wertvoll,ADJA,13207.66394
Fahrdienst,Fahrdienst,NN,13207
zusammenzuführen,zusammenführen,VVIZU,13207
Besuches,Besuch,NN,13207
kluger,klug,ADJA,13206
Milchbauern,Milchbauer,NN,13205.64634
Michi,UNKNOWN,NE,13205.1409
Entwaffnung,Entwaffnung,NN,13205
Hält,halten,VVFIN,13205
Evergreens,Evergreen,NN,13205
Anklagen,Anklage,NN,13204.65824
Noel,Noel,NE,13204
Cordes,UNKNOWN,NE,13203.24201
komplexes,komplex,ADJA,13203
Koalitionsparteien,Koalitionspartei,NN,13203
Vorkenntnisse,Vorkenntnis,NN,13203
Schenker,Schenker,NN,13203
Evers,UNKNOWN,NE,13202.43893
durchhalten,durchhalten,VVINF,13202.15983
Lucio,Lucio,NE,13202
Werkstätte,Werkstätte,NN,13200.9323
aufbieten,aufbieten,VVINF,13200.73584
Hörspiele,Hörspiel,NN,13200
Hauswand,Hauswand,NN,13199
aufbauen,aufbauen,VVFIN,13198.7757
Fussgänger,Fußgänger,NN,13198
Speisesaal,Speisesaal,NN,13198
küssen,küssen,VVINF,13197.9389
Valle,UNKNOWN,NE,13197.80937
Protestantismus,Protestantismus,NN,13197
mangelte,mangeln,VVFIN,13196
Juschtschenko,UNKNOWN,NE,13195.16025
Katie,UNKNOWN,NE,13192.13331
entlässt,entlassen,VVFIN,13192
auszustellen,ausstellen,VVIZU,13191
totaler,total,ADJA,13190.79969
Leiharbeit,Leiharbeit,NN,13189
Raumplanung,Raumplanung,NN,13189
Hemsbach,Hemsbach,NE,13188
Gemischten,Gemischte,NN,13187.9872
Pressbaum,Pressbaum,NN,13187
Improvisationen,Improvisation,NN,13186.31869
geschilderten,geschildert,ADJA,13186
selbstbewusste,selbstbewusst,ADJA,13186
Impressum,Impressum,NN,13186
Kabila,UNKNOWN,NE,13185.26747
KGB,KGB,NE,13185
Ausgewogenheit,Ausgewogenheit,NN,13185
Startformation,Startformation,NN,13184
Nebenrollen,Nebenrolle,NN,13184
köstlichen,köstlich,ADJA,13184
Sacher,Sacher,NE,13183
anwesende,anwesend,ADJA,13183
Xamax,UNKNOWN,NE,13182.82295
Hague,UNKNOWN,NE,13182.70789
auflegen,auflegen,VVINF,13182.31669
HACHENBURG,Hachenburg,NE,13182
Verkehrsunternehmen,Verkehrsunternehmen,NN,13182
Schützenvereins,Schützenverein,NN,13182
Klubchef,Klubchef,NN,13182
Unterwegs,Unterweg,NN,13181.79259
tönte,tönen,VVFIN,13180
Acta,UNKNOWN,NE,13179.75132
Tadschikistan,Tadschikistan,NE,13179
Rabbi,Rabbi,NN,13179
Artenschutz,Artenschutz,NN,13179
Program,Program,NN,13178.21134
Neuaufbau,Neuaufbau,NN,13178
Schloßstraße,Schloßstraße,NN,13177
Kolonne,Kolonne,NN,13177
Werkschau,Werkschau,NN,13176
WALTER,WALTER,NE,13176
Dill,Dill,NN,13176
BIZ,BIZ,NE,13175.58945
Amtsrichter,Amtsrichter,NN,13175
milliardenschwere,milliardenschwer,ADJA,13175
warmer,warm,ADJA,13175
verantwortungsvolle,verantwortungsvoll,ADJA,13174
Unterhalb,unterhalb,APPR,13173.42334
Nächsten,Nächste,NN,13173.33404
wohlhabende,wohlhabend,ADJA,13173
Aktiengesellschaften,Aktiengesellschaft,NN,13173
kraftvollen,kraftvoll,ADJA,13173
lückenlos,lückenlos,ADJD,13172
Freizeitzentrum,Freizeitzentrum,NN,13172
Volkswirtschaftslehre,Volkswirtschaftslehre,NN,13172
erstklassig,erstklassig,ADJD,13171
einsetzten,einsetzen,VVFIN,13170
Dolly,Dolly,NE,13169
auszuwählen,auswählen,VVIZU,13169
Menschenhandel,Menschenhandel,NN,13169
Cut,UNKNOWN,NE,13168.4248
liebsten,lieb,ADJA,13167.57591
Fackel,Fackel,NN,13167
DI,DI,XY,13166.85059
freundschaftlich,freundschaftlich,ADJD,13166
Flöten,Flöte,NN,13164.63088
Verdienstmedaille,Verdienstmedaille,NN,13163
un,un,XY,13162.25704
Sasic,UNKNOWN,NE,13161.88779
Wei,Wei,NE,13161.70744
Source,UNKNOWN,NE,13161.07904
roh,roh,ADJD,13161
Entnahme,Entnahme,NN,13161
misslang,misslingen,VVFIN,13161
künstlicher,künstlich,ADJA,13157.42824
Übertreibung,Übertreibung,NN,13157
vorgeschoben,vorschieben,VVPP,13157
1893-,@card@,CARD,13156
BRG,UNKNOWN,NE,13155
Krokodil,Krokodil,NN,13155
361,@card@,CARD,13155
Programmiersprache,Programmiersprache,NN,13154
Hecker,Hecker,NE,13153
Feldherr,Feldherr,NN,13153
Hype,Hype,NN,13153
Notfalls,notfalls,ADV,13152.61746
Römerzeit,Römerzeit,NN,13152
Musikstücke,Musikstück,NN,13152
schweben,schweben,VVFIN,13151.16435
überflüssigen,überflüssig,ADJA,13151
einstelligen,einstellig,ADJA,13151
Pachtvertrag,Pachtvertrag,NN,13149
befahrenen,befahren,ADJA,13148
gleichwertige,gleichwertig,ADJA,13148
Auto/,unknown,NE,13147.49482
veränderten,verändern,VVFIN,13146.8529
==,unknown,NN,13145.33775
transferiert,transferieren,VVPP,13145.17039
interner,intern,ADJA,13145.14248
zögern,zögern,VVINF,13144.27446
Lokals,Lokal,NN,13144
Keineswegs,keineswegs,ADV,13144
Arturo,Arturo,NE,13143
geografische,geografisch,ADJA,13143
Mittellinie,Mittellinie,NN,13143
Shirley,Shirley,NE,13143
ausgelassene,ausgelassen,ADJA,13142
1751,@card@,CARD,13142
Jurastudium,Jurastudium,NN,13142
Verbraucherzentralen,Verbraucherzentrale,NN,13139
Schwalbe,Schwalbe,NN,13139
abgerutscht,abrutschen,VVPP,13139
Bearbeiter,Bearbeiter,NN,13138
Sitzplatz,Sitzplatz,NN,13138
Zensus,Zensus,NN,13138
Schöneberger,Schöneberger,NN,13137
Aufsichtsbehörden,Aufsichtsbehörde,NN,13137
focus,Focus,NE,13136.94969
Popper,Popper,NN,13136
Steinkohl,Steinkohl,NN,13136
bedrohen,bedrohen,VVINF,13135.58468
Unterteilung,Unterteilung,NN,13134
geritten,reiten,VVPP,13134
Vertreterinnen,Vertreterin,NN,13133.00322
Fahrtkosten,Fahrtkosten,NN,13133
Bütikofer,UNKNOWN,NE,13132.38545
Glöckner,Glöckner,NN,13132
durchführte,durchführen,VVFIN,13132
Pfarreiheim,Pfarreiheim,NN,13132
Grit,Grit,NE,13132
Thon,Thon,NN,13132
Festlegungen,Festlegung,NN,13131
1926-,@card@,CARD,13131
verteuert,verteuern,VVPP,13130.04483
Troika,Troika,NN,13129
Aldo,Aldo,NE,13129
komponiert,komponieren,VVFIN,13128.36018
Drahtesel,Drahtesel,NN,13128
Bertrich,Bertrich,NE,13127
Kultursenator,Kultursenator,NN,13126
fromme,fromm,ADJA,13125
Gästehaus,Gästehaus,NN,13124
Betriebs-,Betriebs-,TRUNC,13124
Glashütte,Glashütte,NN,13124
Polanski,UNKNOWN,NE,13123.32868
Geburtenrate,Geburtenrate,NN,13123
Schlechtwetter,Schlechtwetter,NN,13123
1938-,@card@,CARD,13120
Saragossa,Saragossa,NE,13120
würdige,würdig,ADJA,13119.05478
Thurn,UNKNOWN,NE,13119.03192
Teichmann,Teichmann,NE,13118.83952
ausgebessert,ausbessern,VVPP,13118
1560,@card@,CARD,13118
02663/,@card@,CARD,13118
einlud,einladen,VVFIN,13118
Faltblatt,Faltblatt,NN,13117
Tumoren,Tumor,NN,13117
suggerieren,suggerieren,VVINF,13116.82641
Parteivorsitz,Parteivorsitz,NN,13116
Verkehrsinfrastruktur,Verkehrsinfrastruktur,NN,13116
parteipolitische,parteipolitisch,ADJA,13116
vorheriger,vorherig,ADJA,13115.96575
unablässig,unablässig,ADJD,13115
reinem,rein,ADJA,13114
Müden,Müde,NN,13112.3402
Konzentrationslagern,Konzentrationslager,NN,13112
schwaches,schwach,ADJA,13111
Silbernen,silbern,ADJA,13110.777
505,@card@,CARD,13110
Karajan,Karajan,NE,13110
Calmy-Rey,unknown,NE,13109.91522
Nachschlagewerk,Nachschlagewerk,NN,13109
Omega,Omega,NN,13109
Erhardt,Erhardt,NE,13109
Heizen,Heizen,NN,13108.91743
Prokurist,Prokurist,NN,13107
Raumfähre,Raumfähre,NN,13106
Führen,Führe,NN,13105.44381
Natura,UNKNOWN,NE,13102.75003
untersagen,untersagen,VVINF,13102.59078
gespritzt,spritzen,VVPP,13102
font,unknown,VVFIN,13101.6382
leihen,leihen,VVINF,13101.01581
Heimbewohner,Heimbewohner,NN,13101
früheres,früh,ADJA,13101
T-Mobile,unknown,NE,13100.3264
Casey,Casey,NE,13100
Stellvertretender,stellvertretend,ADJA,13099.7006
Vermont,UNKNOWN,NE,13099.68966
Neunter,Neunte,NN,13099.48763
Baudezernent,Baudezernent,NN,13099
neigen,neigen,VVINF,13097.75974
diszipliniert,diszipliniert,ADJD,13097.44668
Proportionen,Proportion,NN,13097
hässlich,häßlich,ADJD,13097
Ureinwohnern,Ureinwohner,NN,13097
vorweihnachtliche,vorweihnachtlich,ADJA,13096
notwendiger,notwendig,ADJA,13094.85249
verblieben,verbleiben,VVPP,13094.12077
melancholischen,melancholisch,ADJA,13094
Amazonas,Amazonas,NE,13094
Radfahrern,Radfahrer,NN,13094
Studienzeit,Studienzeit,NN,13093
Sozialplan,Sozialplan,NN,13093
Entdeckungsreise,Entdeckungsreise,NN,13093
Escher,UNKNOWN,NE,13092.72908
5361,@card@,CARD,13092
Lohnerhöhung,Lohnerhöhung,NN,13092
rutschten,rutschen,VVFIN,13092
Mäder,UNKNOWN,NE,13091.73656
Carroll,Carroll,NE,13091
Imre,Imre,NE,13091
Yellow,UNKNOWN,NE,13090.47084
18-jährigen,unknown,ADJA,13090.32302
rüsten,rüsten,VVFIN,13090.08836
Kontrahent,Kontrahent,NN,13090
BAUMHOLDER,baumhold,ADJD,13089.32615
punktuell,punktuell,ADJD,13089
Personalrat,Personalrat,NN,13089
Perchtoldsdorf,Perchtoldsdorf,NE,13089
Tracy,Tracy,NE,13088
466,@card@,CARD,13087
Gauner,Gauner,NN,13087
rausnehmen,rausnehmen,VVINF,13086.60087
strecken,strecken,VVFIN,13086.58621
Nö,UNKNOWN,NE,13086.45236
Jedoch,jedoch,KON,13086.06818
Genozid,Genozid,NN,13086
ankündigen,ankündigen,VVINF,13084.59339
Tochterfirma,Tochterfirma,NN,13084
Luisenpark,Luisenpark,NE,13083
Mandatsträger,Mandatsträger,NN,13083
Faß,Faß,NN,13081
Farbgebung,Farbgebung,NN,13081
monumentalen,monumental,ADJA,13080
Emile,Emile,NE,13080
Pietsch,Pietsch,NE,13080
Ars,Ar,NN,13079.18681
Abwrackprämie,Abwrackprämie,NN,13079
Friedhofskapelle,Friedhofskapelle,NN,13078.79139
Bronschhofen,Bronschhofen,NE,13078.75379
Kosaken,Kosak,NN,13078
Schupp,UNKNOWN,NE,13077.98073
geschickten,geschickt,ADJA,13077
Zoff,UNKNOWN,NE,13076.38401
aufregenden,aufregend,ADJA,13076
Güls,UNKNOWN,NE,13075.75782
1230,@card@,CARD,13075
Archivs,Archiv,NN,13075
riskiert,riskieren,VVPP,13074.34748
Mats,Mats,NE,13074
kicken,kicken,VVINF,13073.49876
dichter,dicht,ADJA,13072.87245
Namensträger,Namensträger,NN,13072.42568
Ohl,UNKNOWN,NE,13072.12184
plastisch,plastisch,ADJD,13072
auszuloten,ausloten,VVIZU,13071
Kardinäle,Kardinal,NN,13071
Ski-,Ski-,TRUNC,13071
entkräften,entkräften,VVINF,13070.81357
Politischer,politisch,ADJA,13070.54161
Hänsel,Hänsel,NE,13070.20613
Verlobung,Verlobung,NN,13070
erläutert,erläutern,VVPP,13069.85722
Kappensitzung,Kappensitzung,NN,13068
Flutlicht,Flutlicht,NN,13068
Lago,UNKNOWN,NE,13067.64178
IB,IB,NE,13067.5269
Meran,Meran,NE,13067
dreistündigen,dreistündig,ADJA,13067
spekulativ,spekulativ,ADJD,13066
thema,Thema,NN,13065.22959
niederen,nieder,ADJA,13063
Klotz,Klotz,NE,13062.70833
Vogl,UNKNOWN,NE,13062.02806
Schulformen,Schulform,NN,13062
Juwelier,Juwelier,NN,13062
abgemeldet,abmelden,VVPP,13062
Jg.,unknown,ADJA,13061.0377
Körperschaft,Körperschaft,NN,13061
Seniorenbeirat,Seniorenbeirat,NN,13061
Schwerter,Schwert,NN,13061
